ticker,company_name,median_worker_pay,pay_ratio,ceo_name,salary,industry,sector,fullTimeEmployees,longBusinessSummary,totalRevenue,grossProfits,freeCashflow,operatingCashflow
CARG,"Cargurus, Inc.",99390,193,Jason Trevisan,19211250,Auto & Truck Dealerships,Consumer Cyclical,1403.0,"CarGurus, Inc. operates an online automotive marketplace connecting buyers and sellers of new and used cars in the United States and internationally. It operates through two segments, U.S. Marketplace and Digital Wholesale The company provides consumers an online automotive marketplace where they can search for new and used car listings from its dealers, as well as sell their car to dealers and other consumers. Its marketplace connects dealers to a large audience of informed and engaged consumers. The company operates online marketplaces under the CarGurus brand in Canada and the United Kingdom; Autolist and CarOffer brands in the United States; and PistonHeads brand in the United Kingdom. CarGurus, Inc. was founded in 2005 and is headquartered in Cambridge, Massachusetts.",1655035008.0,657718000.0,241708880.0,256106000.0
CARS,"Cars.com, Inc.",77171,91,T. Vetter,6985255,Auto & Truck Dealerships,Consumer Cyclical,1700.0,"Cars.com Inc. operates as a digital marketplace and provides solutions for the automotive industry. Its platform connects car shoppers with sellers. The company, enable dealers and automotive manufacturers; connect sellers with ready-to-buy shoppers that provide financing tools with instant online loan screening and approvals; and empower shoppers with the resources and and digital tools needed to make car buying decisions. It also offers marketplace products, such as Marketplace subscription advertising; digital solutions, including website creation and platform hosting, vehicle acquisition and valuation, digital retailing, and review and reputation management; and media comprising display advertising, social selling, digital advertising, and in-market video services. As of December 31, 2022, the company served 19,506 dealer customers in 50 states, which included franchise and independent dealers, with digital and brick-and-mortar stores. Its customers are local car dealers, OEMs, and other national advertisers and lenders. Cars.com Inc. was founded in 1998 and is based in Chicago, Illinois.",0.0,449902000.0,0.0,0.0
CCO,"Clear Channel Outdoor Holdings, Inc.",50547,123,Christopher Eccleshare,6234771,Advertising Agencies,Communication Services,4700.0,"Clear Channel Outdoor Holdings, Inc. operates as an out-of-home advertising company in the United States, Europe, and internationally. It operates through America, Airports, Europe-North, Europe-South, and Other segments. The company offers advertising services through billboards, including bulletins and posters, as well as spectaculars, which are customized display structures with videos, multi-dimensional lettering and figures, mechanical devices, moving parts, and other embellishments; street furniture displays, such as advertising surfaces on bus shelters, information kiosks, newsracks, and other public structures; transit displays, which are advertising surfaces within the common areas of rail stations and on various types of vehicles; and airport advertising displays. It also sells street furniture equipment; provides cleaning and maintenance services; and operates public bike programs, a public bicycle rental program that offers bicycles for rent to the general public in various municipalities. The company was formerly known as Eller Media Company and changed its name to Clear Channel Outdoor Holdings, Inc. in August 2005. Clear Channel Outdoor Holdings, Inc. was founded in 1901 and is headquartered in San Antonio, Texas.",2481134080.0,1154732000.0,-31296376.0,139992000.0
CCOI,"Cogent Communications Holdings, Inc.",88542,143,David Schaeffer,11504458,Telecom Services,Communication Services,1076.0,"Cogent Communications Holdings, Inc., through its subsidiaries, provides high-speed Internet access, private network, and data center colocation space services in North America, Europe, Asia, South America, Australia, and Africa. The company offers on-net Internet access and private network services to law firms, financial services firms, and advertising and marketing firms, as well as heath care providers, educational institutions and other professional services businesses, other Internet service providers, telephone companies, cable television companies, Web hosting companies, media service providers, mobile phone operators, content delivery network companies, and commercial content and application service providers. It also provides Internet access and private network services to customers that are not located in buildings directly connected to its network; and on-net services to customers located in buildings that are physically connected to its network. In addition, the company offers off-net services to corporate customers using other carriers' circuits to provide the last mile portion of the link from the customers' premises to the network. Further, it operates data centers that allow its customers to collocate their equipment and access the network. It serves primarily to small and medium-sized businesses, communications service providers, and other bandwidth-intensive organizations. Cogent Communications Holdings, Inc. was founded in 1999 and is headquartered in Washington, the District of Columbia.",0.0,371450000.0,0.0,0.0
CDLX,"Cardlytics, Inc.",215408,31,Lynne Laube,6625395,Advertising Agencies,Communication Services,501.0,"Cardlytics, Inc. operates an advertising platform in the United States and the United Kingdom. It offers Cardlytics platform, a proprietary native bank advertising channel that enables marketers to reach customers through their network of financial institution partners through digital channels, such as online, mobile applications, email, and various real-time notifications; and Bridg platform, a customer data platform which utilizes point-of-sale data and enables marketers to perform analytics and targeted loyalty marketing, as well as measure the impact of their marketing. The company was incorporated in 2008 and is headquartered in Atlanta, Georgia.",0.0,115415000.0,0.0,0.0
CHTR,"Charter Communications, Inc.",60007,698,Thomas Rutledge,41860263,Telecom Services,Communication Services,101700.0,"Charter Communications, Inc. operates as a broadband connectivity and cable operator company serving residential and commercial customers in the United States. The company offers subscription-based internet, video, and mobile and voice services; a suite of broadband connectivity services, including fixed internet, WiFi, and mobile; security suite that protects computers from viruses and spyware, and threats from malicious actors; in-home WiFi, which provides customers with high performance wireless routers and managed WiFi services to enhance their fixed wireless internet experience; out-of-home WiFi; and Spectrum WiFi services. The company also offers voice communications services using voice over internet protocol technology; and broadband communications solutions, such as internet access, data networking, fiber connectivity, video entertainment, and business telephone services to cellular towers and office buildings for business and carrier organizations. In addition, it provides mobile services; video programming, static IP and business WiFi, and e-mail and security services; sells local advertising across various platforms for networks, such as TBS, CNN, and ESPN; sells advertising inventory to local sports and news channels; and offers Audience App to create data-driven linear TV campaigns for local advertisers. Further, the company offers communications products and managed service solutions; data connectivity services to mobile and wireline carriers on a wholesale basis; and owns and operates regional sports and news networks. It serves approximately 32 million customers in 41 states. The company was founded in 1993 and is headquartered in Stamford, Connecticut.",54475001856.0,24485000000.0,4683125248.0,14600999936.0
CMCSA,Comcast Corporation,83840,405,Brian Roberts,33978581,Telecom Services,Communication Services,186000.0,"Comcast Corporation operates as a media and technology company worldwide. It operates through Cable Communications, Media, Studios, Theme Parks, and Sky segments. The Cable Communications segment provides broadband, video, voice, wireless, and other services to residential and business customers under the Xfinity brand; and advertising services. The Media segment operates NBCUniversal's television and streaming platforms, including national, regional, and international cable networks; the NBC and Telemundo broadcast networks; and Peacock, a direct-to-consumer streaming service. The Studios segment operates NBCUniversal's film and television studio production and distribution operations. The Theme Parks segment consists of Universal theme parks in Orlando, Florida; Hollywood, California; Osaka, Japan; and Beijing, China. The Sky segment offers direct-to-consumer services, such as video, broadband, voice and wireless phone services, and content business operates entertainment networks, the Sky News broadcast network, and Sky Sports networks. The company also owns the Philadelphia Flyers, as well as the Wells Fargo Center arena in Philadelphia, Pennsylvania; and provides streaming service, such as Peacock. Comcast Corporation was founded in 1963 and is headquartered in Philadelphia, Pennsylvania.",120107999232.0,83214000000.0,10372875264.0,26383998976.0
CNK,"Cinemark Holdings, Inc.",5584,1353,Mark Zoradi,7553272,Entertainment,Communication Services,8340.0,"Cinemark Holdings, Inc., together with its subsidiaries, engages in the motion picture exhibition business. As of February 24, 20223 it operated 518 theatres with 5,847 screens in the United States, and South and Central America. The company was founded in 1984 and is headquartered in Plano, Texas.",0.0,1178200000.0,0.0,0.0
CNSL,"Consolidated Communications Holdings, Inc.",82844,56,C. Udell,4671543,Telecom Services,Communication Services,3200.0,"Consolidated Communications Holdings, Inc., together with its subsidiaries, provides broadband and business communication solutions for consumer, commercial, and carrier channels in the United States. It offers high-speed broadband Internet access, SIP trunking, and voice over Internet protocol (VoIP) phone services; commercial data connectivity services in various markets, including Ethernet services, private line data services, software defined wide area network, and multi-protocol label switching services; networking services; cloud-based services; and data center and disaster recovery solutions. The company also provides voice services, such as local phone and long-distance services; and high-speed fiber data transmission services to regional and national interexchange; and wireless carriers, including Ethernet, cellular backhaul, dark fiber, and colocation services. In addition, it sells business equipment, as well as offers related hardware and maintenance support, video, and other miscellaneous services. Further, the company offers video services comprising high-definition television, digital video recorders (DVR), and/or a whole home DVR; and in-demand streaming TV services that provide endless entertainment options. Additionally, it provides network access services that include interstate and intrastate switched access, network special access, and end user access; and telephone directory publishing, video advertising, billing and support, and other miscellaneous services. Consolidated Communications Holdings, Inc. was founded in 1894 and is headquartered in Mattoon, Illinois.",0.0,644602000.0,0.0,0.0
DHX,"DHI Group, Inc.",114090,24,Art Zeile,2702822,Software—Application,Technology,530.0,"DHI Group, Inc. provides data, insights, and employment connections through specialized services for technology professionals in the United States. The company operates Dice that offers job postings of technology and non-technology companies for industries, such as positions for software engineers, big data professionals, systems administrators, database specialists, project managers, and other technology and engineering professionals; and ClearanceJobs, an online career network, which matches security-cleared professionals with hiring companies searching for employees. It serves small, mid-sized, and large direct employers; staffing companies; recruiting agencies; consulting firms; and marketing departments of companies. The company was formerly known as Dice Holdings, Inc. and changed its name to DHI Group, Inc. in April 2015. DHI Group, Inc. was founded in 1991 and is headquartered in Centennial, Colorado.",149680000.0,132073000.0,21400376.0,36035000.0
DIS,The Walt Disney Company,50430,644,Robert Chapek,32464293,Entertainment,Communication Services,171600.0,"The Walt Disney Company, together with its subsidiaries, operates as an entertainment company worldwide. It operates through two segments, Disney Media and Entertainment Distribution; and Disney Parks, Experiences and Products. The company engages in the film and episodic television content production and distribution activities, as well as operates television networks under the ABC, Disney, ESPN, Freeform, FX, Fox, National Geographic, and Star brands; and studios that produces films under the Walt Disney Pictures, Twentieth Century Studios, Marvel, Lucasfilm, Pixar, and Searchlight Pictures banners. It also offers direct-to-consumer streaming services through Disney+, Disney+ Hotstar, ESPN+, Hulu, and Star+; sale/licensing of film and television content to third-party television and subscription video-on-demand services; theatrical, home entertainment, and music distribution services; staging and licensing of live entertainment events; and post-production services by Industrial Light & Magic and Skywalker Sound. In addition, the company operates theme parks and resorts, such as Walt Disney World Resort in Florida; Disneyland Resort in California; Disneyland Paris; Hong Kong Disneyland Resort; and Shanghai Disney Resort; Disney Cruise Line, Disney Vacation Club, National Geographic Expeditions, and Adventures by Disney, as well as Aulani, a Disney resort and spa in Hawaii. Further, it licenses its intellectual property to a third party for the operations of the Tokyo Disney Resort; provides consumer products, including licensing of trade names, characters, visual, literary, and other IP for use on merchandise, published materials, and games; operates a direct-to-home satellite distribution platform; sells branded merchandise through retail, online, and wholesale businesses; and develops and publishes books, comic books, and magazines. The Walt Disney Company was founded in 1923 and is based in Burbank, California.",84414996480.0,28321000000.0,4855750144.0,5248999936.0
DISCA,"Warner Bros. Discovery, Inc.",82964,2972,David Zaslav,246573481,Issue,Issue,0.0,Issue,0.0,0.0,0.0,0.0
DISH,DISH Network Corporation,58161,50,W. Carlson,2895882,Telecom Services,Communication Services,14200.0,"DISH Network Corporation, together with its subsidiaries, provides pay-TV services in the United States. The company operates in two segments, Pay-TV and Wireless. It offers video services under the DISH TV brand; and programming packages that include programming through national broadcast networks, local broadcast networks, and national and regional cable networks, as well as regional and specialty sports channels, premium movie channels, and Latino and international programming packages. The company also provides access to movies and television shows through TV or Internet-connected devices; and dishanywhere.com and mobile applications on Internet-connected devices to view authorized content, search program listings, and remotely control certain features of their DVRs. In addition, it offers Sling TV services, including Sling domestic, Sling International, Sling Latino, Sling Orange, and Sling Blue services that require an internet connection and are available on streaming-capable devices, such as streaming media devices, TVs, tablets, computers, game consoles, and phones, as well as market SLING TV services to consumers who do not subscribe to traditional satellite and cable pay-TV services. Further, the company provides wireless subscribers consumer plans with no annual service contracts, as well as monthly service plans, including high-speed data and unlimited talk and text. The company offers receiver systems and programming through direct sales channels, as well as independent third parties, such as small retailers, direct marketing groups, local and regional consumer electronics stores, retailers, and telecommunications companies. DISH Network Corporation was founded in 1980 and is headquartered in Englewood, Colorado.",16679406592.0,5308332000.0,-8830544896.0,3092100096.0
EA,Electronic Arts Inc.,115569,172,Andrew Wilson,19858539,Electronic Gaming & Multimedia,Communication Services,12900.0,"Electronic Arts Inc. develops, markets, publishes, and distributes games, content, and services for game consoles, PCs, mobile phones, and tablets worldwide. It develops and publishes games and services across various genres, such as sports, racing, first-person shooter, action, role-playing, and simulation primarily under the Battlefield, The Sims, Apex Legends, Need for Speed, and license games from others, including FIFA, Madden NFL, UFC, and Star Wars brands. The company licenses its games to third parties to distribute and host its games. It markets and sells its games and services through digital distribution and retail channels, as well as directly to mass market retailers, specialty stores, and distribution arrangements. Electronic Arts Inc. was incorporated in 1982 and is headquartered in Redwood City, California.",7376999936.0,5143000000.0,1278625024.0,1376999936.0
EB,"Eventbrite, Inc.",122072,53,Julia Hartz,6500718,Software—Application,Technology,881.0,"Eventbrite, Inc. operates a self-service ticketing and experience technology platform that serves event creators in the United States and internationally. Its platform integrates components needed to plan, promote, and produce live events that allow creators to reduce friction and costs, enhance reach, and drive ticket sales. The company was formerly known as Mollyguard Corporation and changed its name to Eventbrite, Inc. in 2009. Eventbrite, Inc. was incorporated in 2008 and is headquartered in San Francisco, California.",260927008.0,170181000.0,14659125.0,8610000.0
EVC,Entravision Communications Corporation,38967,165,Walter Ulloa,6442220,Advertising Agencies,Communication Services,1262.0,"Entravision Communications Corporation operates as an advertising, media, and technology solutions company worldwide. The company operates through three segments: Digital, Television, and Audio. It reaches and engages Hispanics across acculturation levels and media channels. The company's portfolio encompasses integrated end-to-end advertising solutions, including digital, television, and audio properties. It also offers a suite of end-to-end digital advertising solutions, including digital commercial partnerships services, as well as advertising customers billing and technological and other support services, including strategic marketing and training; and Smadex, a programmatic ad purchasing platform that enables advertising customers or ad agencies to purchase advertising electronically and manage data-driven advertising campaigns through online marketplaces. In addition, the company provides a mobile growth solution, such as managed services to advertisers looking to connect with consumers on mobile devices; and digital audio advertising solutions for advertisers. Further, it sells advertisements and syndicated radio programming solutions through its Entravision radio network. The company operates various television stations; and Spanish-language radio stations. It serves advertisers from various industries, such as e-commerce, retail, entertainment, gaming, delivery services, financial technology, communications, lifestyle, and travel. Entravision Communications Corporation was founded in 1996 and is headquartered in Santa Monica, California.",0.0,215682000.0,0.0,0.0
EVER,"EverQuote, Inc.",94637,15,Jayme Mendal,1418565,Internet Content & Information,Communication Services,612.0,"EverQuote, Inc. operates an online marketplace for insurance shopping in the United States. The company offers auto, home and renters, life, and health insurance. It also engages in online business activities. The company serves carriers and agents, as well as indirect distributors. The company was formerly known as AdHarmonics, Inc., and changed its name to EverQuote, Inc. in November 2014. EverQuote, Inc. was incorporated in 2008 and is based in Cambridge, Massachusetts.",404127008.0,380147000.0,9932125.0,-15791000.0
FOXA,Fox Corporation,91803,237,Lachlan Murdoch,21748681,Entertainment,Communication Services,10600.0,"Fox Corporation operates as a news, sports, and entertainment company in the United States (U.S.). The company operates through Cable Network Programming; Television; and Other, Corporate and Eliminations segments. The Cable Network Programming segment produces and licenses news, business news, and sports content for distribution through traditional and virtual multi-channel video programming distributors (MVPDs) and other digital platforms, primarily in the U.S. It operates FOX News, a national cable news channel; FOX Business, a business news national cable channel; FS1 and FS2 multi-sport national networks; FOX Sports Racing, a video programming service that comprises motor sports programming; FOX Soccer Plus, a video programming network for live soccer and rugby competitions; FOX Deportes, a Spanish-language sports programming service; and Big Ten Network, a national video programming service. The Television segment acquires, produces, markets, and distributes programming. It operates The FOX Network, a national television broadcast network that broadcasts sports programming and entertainment; Tubi, an advertising-supported video-on-demand service; Fox Alternative Entertainment, a full-service production studio that develops and produces unscripted and alternative programming; MyNetworkTV, a programming distribution service; and Blockchain Creative Labs, which is focuses on the creation, distribution and monetization of Web3 content. This segment owns and operates 29 broadcast television stations. The Other, Corporate and Eliminations segment owns the FOX Studios Lot that provides production and post-production services, including 15 sound stages, two broadcast studios, theaters and screening rooms, editing rooms, and other television and film production facilities in Los Angeles, California. The company was incorporated in 2018 and is based in New York, New York.",14284999680.0,4857000000.0,1864249984.0,2279000064.0
FWONA,Liberty Media Corp.,162742,133,Gregory Maffei,21575769,Entertainment,Communication Services,0.0,"Formula One Group engages in the motorsports business in the United States and internationally. It holds commercial rights for the world championship, approximately a nine-month long motor race-based competition in which teams compete for the constructors' championship and drivers compete for the drivers' championship. The company was founded in 1950 and is based in Englewood, Colorado. Formula One Group is a subsidiary of Liberty Media Corporation.",0.0,823000000.0,0.0,0.0
FYBR,"Frontier Communications Parent, Inc.",80800,262,Nick Jeffery,17209584,Telecom Services,Communication Services,14708.0,"Frontier Communications Parent, Inc., together with its subsidiaries, provides communication and technology services in the United States. It offers data and Internet, voice, video, and other services. The company was formerly known as Frontier Communications Corporation and changed its name to Frontier Communications Parent, Inc. in April 2021. Frontier Communications Parent, Inc. was incorporated in 1935 and is based in Norwalk, Connecticut.",0.0,3618000000.0,0.0,0.0
GCI,"Gannett Co., Inc.",48419,160,Michael Reed,7741052,Publishing,Communication Services,14200.0,"Gannett Co., Inc. operates as a media and marketing solutions company in the United States. It operates through two segments, Gannett Media and Digital Marketing Solutions. The company's principal products include 218 daily print media with total paid circulation of approximately 1.6 million and Sunday circulation of 4.1 million; 175 weekly print media; and 266 locally-focused websites. Its principal products also comprise 154 daily and weekly news media brands and approximately 90 magazines, and related digital platforms; sports network; and USA TODAY NETWORK, a community events platform. The company also offers digital marketing solutions, such as online presence solutions, online advertising products, conversion software, and cloud-based software solutions. In addition, it produces niche publications that address specific local market interests, such as recreation, sports, healthcare, and real estate. Further, the company offers local market news and information, as well as advertising and subscriptions, and commercial printing and distribution services; and prints commercial materials, including flyers, business cards, and invitations. The company was formerly known as New Media Investment Group Inc. and changed its name to Gannett Co., Inc. in November 2019. Gannett Co., Inc. was incorporated in 2013 and is headquartered in McLean, Virginia.",0.0,1084950000.0,0.0,0.0
GOGO,Gogo Inc.,155005,22,Oakleigh Thorne,3345530,Telecom Services,Communication Services,422.0,"Gogo Inc., through its subsidiaries, provides broadband connectivity services to the aviation industry in the United States and internationally. The company operates through Commercial Aviation-North America, Commercial Aviation-Rest of World, and Business Aviation segments. Its platform include networks, antennas, and airborne equipment and software. The company also offers interconnected voice over Internet protocol, and in-flight entertainment services; and voice and data services. In addition, its portfolio comprises of in-flight systems, in-flight services, aviation partner support, engineering, and design and development services; and production operations functions. The company was founded in 1991 and is headquartered in Broomfield, Colorado.",0.0,268167000.0,0.0,0.0
GOOGL,Alphabet Inc.,295884,21,Sundar Pichai,6322599,Internet Content & Information,Communication Services,190711.0,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, hardware, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play store; and Fitbit wearable devices, Google Nest home products, Pixel phones, and other devices, as well as in the provision of YouTube non-advertising services. The Google Cloud segment offers infrastructure, cybersecurity, data, analytics, AI, and machine learning, and other services; Google Workspace that include cloud-based collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells health technology and internet services. The company was founded in 1998 and is headquartered in Mountain View, California.",284612001792.0,156633000000.0,55862624256.0,89898000384.0
GSAT,"Globalstar, Inc.",84524,10,David Kagan,871997,Telecom Services,Communication Services,332.0,"Globalstar, Inc. provides mobile satellite services worldwide. The company offers duplex two-way voice and data products, including mobile voice and data satellite communications services and equipment for remote business continuity, recreational usage, safety, emergency preparedness and response, and other applications. It also provides one-way or two-way communications and data transmissions using mobile devices, including the SPOT family of products, such as SPOT X, SPOT Gen4, and SPOT Trace that transmit messages and the location of the device; commercial Internet of Things transmission products to track cargo containers and rail cars, as well as to monitor utility meters, and oil and gas assets; small satellite transmitter modules, such as the STX-3, ST-150 and ST100, and chips that enable an integrator's products to access company's network; and engineering and other communication services using MSS and terrestrial spectrum licenses, as well as undertakes installation of gateways and antennas. The company distributes its products through retailers, sales force, and e-commerce website. Globalstar, Inc. serves recreation and personal, government, public safety and disaster relief, oil and gas, maritime and fishing, construction, utilities, and transportation, as well as natural resources, mining, and forestry markets. The company was founded in 1993 and is headquartered in Covington, Louisiana.",0.0,83484000.0,0.0,0.0
GTN,"Gray Television, Inc.",46627,237,Hilton Howell Jr.,11515178,Broadcasting,Communication Services,8942.0,"Gray Television, Inc., a television broadcasting company, owns and/or operates television stations and digital assets in the United States. It also broadcasts secondary digital channels affiliated to ABC, CBS, NBC, and FOX, as well as various other networks and program services, including CW Plus Network, MY Network, the MeTV Network, Circle, Antenna TV, Telemundo, and Cozi; and local news/weather channels in various markets. In addition, the company offers video program production services. It owns and operates television stations and digital assets that serve television markets in the United States. The company was formerly known as Gray Communications Systems, Inc. and changed its name to Gray Television, Inc. in August 2002. Gray Television, Inc. was founded in 1891 and is headquartered in Atlanta, Georgia.",0.0,1434000000.0,0.0,0.0
